

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.034  000.034: --- NVIM STARTING ---
000.781  000.748: locale set
001.710  000.928: inits 1
001.911  000.202: window checked
001.923  000.012: parsing arguments
010.777  008.854: expanding arguments
011.004  000.227: inits 2
012.266  001.262: init highlight
012.274  000.008: waiting for UI
015.790  003.516: done waiting for UI
015.932  000.142: init screen for UI
015.974  000.042: init default mappings
016.040  000.066: init default autocommands
017.365  000.162  000.162: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
017.531  000.087  000.087: sourcing /usr/local/share/nvim/runtime/indent.vim
018.914  000.971  000.971: sourcing /home/coma/.local/share/nvim/site/autoload/jetpack.vim
034.885  000.235  000.235: sourcing /usr/local/share/nvim/runtime/syntax/nosyntax.vim
035.082  000.094  000.094: sourcing /usr/local/share/nvim/runtime/ftplugof.vim
035.410  000.146  000.146: sourcing /usr/local/share/nvim/runtime/indoff.vim
059.512  000.226  000.226: sourcing /usr/local/share/nvim/runtime/syntax/synload.vim
059.704  000.085  000.085: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/filetype.vim
060.090  000.121  000.121: sourcing /usr/local/share/nvim/runtime/filetype.lua
082.707  000.378  000.378: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/ftdetect/fish.vim
082.886  000.124  000.124: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/ftdetect/jinja.vim
082.999  000.075  000.075: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/ftdetect/markdown.vim
083.103  000.069  000.069: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/ftdetect/nim.vim
083.193  000.057  000.057: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/ftdetect/snippets.vim
083.966  023.831  023.129: sourcing /usr/local/share/nvim/runtime/filetype.vim
086.259  001.473  001.473: sourcing /usr/local/share/nvim/runtime/scripts.vim
086.428  028.629  002.892: sourcing /usr/local/share/nvim/runtime/syntax/syntax.vim
086.547  000.025  000.025: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/filetype.vim
086.911  000.100  000.100: sourcing /usr/local/share/nvim/runtime/filetype.lua
086.983  000.029  000.029: sourcing /usr/local/share/nvim/runtime/filetype.vim
